Name                      Stmts   Miss  Cover
---------------------------------------------
manage.py                    11      2    82%
materials/admin.py            4      0   100%
materials/apps.py             4      0   100%
materials/models.py          36      2    94%
materials/serializer.py      21      0   100%
materials/tests.py           73      0   100%
materials/urls.py             9      0   100%
materials/validators.py       9      0   100%
materials/views.py           99     17    83%
uni_school/settings.py       48      0   100%
uni_school/urls.py           16      2    88%
users/admin.py                6      0   100%
users/apps.py                 4      0   100%
users/models.py              48      2    96%
users/permissions.py         13      1    92%
users/serializer.py          23      2    91%
users/services.py             6      0   100%
users/tests.py               43      0   100%
users/urls.py                11      0   100%
users/views.py              135     37    73%
---------------------------------------------
TOTAL                       619     65    89%
